	PolyIC...Bf	PolyIC...Bf.1	PolyIC...Bf.2	PolyIC...Bf.3	PolyIC...Bf.4	PolyIC...Bf.5	PolyIC...Bf.6	PolyIC...Bf.7	PolyIC...Bf.8	PolyIC...Bf.9	PolyIC	PolyIC.1	PolyIC.2	PolyIC.3	PolyIC.4	PolyIC.5	PolyIC.6	PolyIC.7	PolyIC.8	PolyIC.9
55	2	4	4	3	4	1	13	9	12	5	2	12	8	1	11	12	3	9	1	7
54	6	6	3	0	7	4	7	7	14	9	26	9	0	1	2	2	5	7	5	3
57	8	0	0	4	0	3	10	4	0	8	21	25	0	0	0	0	0	0	1	0
56	0	3	0	1	4	1	3	2	1	2	2	2	0	1	8	0	2	2	0	3
51	15	7	14	5	10	2	4	18	5	13	9	3	16	1	8	12	5	9	6	8
50	3	0	3	1	3	3	1	8	5	1	17	6	0	3	2	3	0	3	5	8
53	1	1	0	1	1	0	1	6	1	0	20	1	1	8	0	2	19	5	11	4
52	21	4	0	0	0	0	0	0	58	5	1	0	0	0	0	0	2	15	0	0
533	5	4	14	11	9	6	7	8	5	13	4	4	3	7	9	3	4	3	2	3
531	0	2	1	2	2	1	1	2	2	1	2	2	0	0	1	0	0	0	1	0
530	0	0	0	0	0	0	2	0	0	1	1	0	0	2	0	0	0	0	3	0
429	0	0	0	0	0	0	2	0	1	2	0	1	2	1	0	0	0	0	0	0
428	1	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	1	1	1
1399	4	1	7	1	4	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0
1397	0	2	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
1394	2	0	0	1	0	0	2	3	2	2	1	0	1	0	0	0	1	0	4	1
424	0	0	0	0	1	2	0	0	0	0	0	1	2	0	1	0	0	0	0	0
427	0	0	0	2	1	1	0	1	1	0	0	2	3	2	0	0	0	2	1	1
426	2	1	1	0	1	1	0	0	0	0	0	0	1	2	0	0	0	1	0	1
853	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0
229	4	1	0	0	0	0	1	0	0	0	3	1	0	0	2	0	0	0	0	2
